Name,"Contact Number",Complete,"Email Address","Estimate Date",Device,Brand,Model,Enquiry,Message
"Test school 1",23423423,Yes,test@domain.com,2022-10-18,Mobile,Samsung,S10,abcdef,test123
test,+923365036734,No,t@t.com,2022-10-21,Mobile,Oppo,"Oppo Reno 5",dfdf,Test
test,+923365036734,No,t@t.com,2022-10-21,Mobile,Oppo,"Oppo Reno 5",dfdf,Test
test,+923365036734,No,t@t.com,2022-10-21,Mobile,Oppo,"Oppo Reno 5",dfdf,Test
"Hamza Testing",+923025343136,No,Testing@gmail.com,2022-10-28,,,,,abcdefghijkl
"Hamza Testing",+923025343136,No,Testing@gmail.com,2022-10-28,,,,,abcdefghijkl
"Hamza Testing",+923025343136,No,Testing@gmail.com,2022-10-28,,,,,abcdefghijkl
test,+923365036734,No,t@t.com,2022-10-21,Mobile,Oppo,"Oppo Reno 5",dfdf,Test
"new testing",+923025343136,No,test123@gmail.com,2022-10-28,,,,,"message testing"
"new testing",+923025343136,No,test123@gmail.com,2022-10-28,,,,,"message testing"
test,+923365036734,No,t@t.com,2022-10-21,,,,,Test
test,+923365036734,No,t@t.com,2022-10-21,,,,,Test
test,+923365036734,No,t@t.com,2022-10-21,,,,,Test
"new testing",+923025343136,No,test123@gmail.com,2022-10-28,,,,,"message testing"
test,+923365036734,No,t@t.com,2022-10-21,,,,,Test
"new testing",+923025343136,No,test123@gmail.com,2022-10-28,,,,,"message testing"
test,+923365036734,No,t@t.com,2022-10-21,,,,,Test
test,+923365036734,No,t@t.com,2022-10-21,Mobile,Samsung,S10,"Enquiry testing",Test
"new testing",+923025343136,No,test123@gmail.com,2022-10-28,,,,,"message testing"
test,+923365036734,No,t@t.com,2022-10-21,Mobile,Samsung,S10,"testing 123",Test
